vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
64,0.137,0.137,0.075184,-0.00254605,0.00122995,0.000879808,0,0.178816,0.00538188,1
65,0.137,0.137,0.07239,-0.00265582,0.00115266,0.000775007,0,0.18161,0.00538213,1
66,0.137,0.137,0.069596,-0.00276235,0.00107519,0.000653513,0,0.184404,0.00538238,1
67,0.137,0.137,0.066802,-0.00286547,0.000997936,0.000516677,0,0.187198,0.00538262,1
68,0.137,0.137,0.064008,-0.00296359,0.000921453,0.000359411,0,0.189992,0.00538285,1
69,0.137,0.137,0.061214,-0.00305676,0.00084613,0.000182963,0,0.192786,0.00538306,1
70,0.137,0.137,0.05842,-0.00314318,0.000772886,-1.90674e-05,0,0.19558,0.00538323,1
71,0.137,0.137,0.055626,-0.0032231,0.000702127,-0.000245761,0,0.198374,0.00538336,1
72,0.137,0.137,0.052832,-0.00329452,0.000635238,-0.000505661,0,0.201168,0.00538341,1
73,0.137,0.137,0.050038,-0.00335793,0.000572642,-0.000798531,0,0.203962,0.00538338,1
74,0.137,0.137,0.047244,-0.00341098,0.000516435,-0.0011366,0,0.206756,0.0053832,1
75,0.137,0.137,0.04445,-0.00345415,0.000467231,-0.00152107,0,0.20955,0.00538285,1
76,0.137,0.137,0.041656,-0.00348438,0.000428324,-0.0019707,0,0.212344,0.00538222,1
77,0.137,0.137,0.038862,-0.00350175,0.000400742,-0.00248953,0,0.215138,0.00538125,1
78,0.137,0.137,0.036068,-0.00350149,0.00038995,-0.00310836,0,0.217932,0.00537969,1
79,0.137,0.137,0.033274,-0.0034826,0.000397958,-0.00383711,0,0.220726,0.0053774,1
80,0.137,0.137,0.03048,-0.00343649,0.000434307,-0.00472954,0,0.22352,0.0053738,1
81,0.137,0.137,0.027686,-0.00335944,0.000503316,-0.00580866,0,0.226314,0.00536844,1
82,0.137,0.137,0.024892,-0.00323436,0.00062281,-0.00717399,0,0.229108,0.00535987,1
83,0.137,0.137,0.022098,-0.00305079,0.000802737,-0.00887968,0,0.231902,0.00534666,1
84,0.137,0.137,0.019304,-0.00277338,0.00107731,-0.0111181,0,0.234696,0.00532455,1
85,0.137,0.137,0.01651,-0.00237665,0.00146841,-0.0140204,0,0.23749,0.00528854,1
86,0.137,0.137,0.013716,-0.00179455,0.00203403,-0.0179576,0,0.240284,0.00522513,1
87,0.137,0.137,0.010922,-0.000984641,0.00280288,-0.0232358,0,0.243078,0.00511528,1
88,0.137,0.137,0.008128,0.000106687,0.00380209,-0.0304586,0,0.245872,0.00491724,1
89,0.137,0.137,0.005334,0.00139405,0.00491108,-0.0401063,0,0.248666,0.0045685,1
90,0.137,0.137,0.00254,0.00257657,0.00579566,-0.0523347,0,0.25146,0.00399559,1
91,0.137,0.137,-0.000254,0.00275686,0.00557026,-0.0661576,0,0.254254,0.00316309,1
92,0.137,0.137,-0.003048,0.00171233,0.00407878,-0.0781679,0,0.257048,0.00229082,1
93,0.137,0.137,-0.005842,0.000664858,0.00258255,-0.086016,0,0.259842,0.00166444,1
94,0.137,0.137,-0.008636,-1.44232e-05,0.00148875,-0.0910886,0,0.262636,0.00122432,1
95,0.137,0.137,-0.01143,-0.000356437,0.000803383,-0.0942312,0,0.26543,0.00091821,1
96,0.137,0.137,-0.014224,-0.000506068,0.000383368,-0.096389,0,0.268224,0.000684224,1
97,0.137,0.137,-0.017018,-0.000530699,0.000151555,-0.0979391,0,0.271018,0.000492089,1
98,0.137,0.137,-0.019812,-0.000510658,1.73016e-05,-0.09919,0,0.273812,0.000318536,1
99,0.137,0.137,-0.022606,-0.000477924,-5.91156e-05,-0.100163,0,0.276606,0.000156715,1
100,0.137,0.137,-0.0254,-0.000461685,-0.000112233,-0.100929,0,0.2794,2.12075e-19,1
