vtkOriginalIndices,Points:0,Points:1,Points:2,U:0,U:1,U:2,__vtkIsSelected__,arc_length,p,vtkValidPointMask
71,0.198374,0.137,0.127,-0.000116406,-7.71748e-06,-0.000332105,0,0.198374,0.00536855,1
72,0.201168,0.137,0.127,-0.000122535,-0.000247098,-0.000454807,0,0.201168,0.00536838,1
73,0.203962,0.137,0.127,-0.000138059,-0.00049182,-0.000584278,0,0.203962,0.00536826,1
74,0.206756,0.137,0.127,-0.000163542,-0.000741717,-0.000721663,0,0.206756,0.0053682,1
75,0.20955,0.137,0.127,-0.000201344,-0.000997937,-0.000870077,0,0.20955,0.00536819,1
76,0.212344,0.137,0.127,-0.00025222,-0.00126135,-0.0010319,0,0.212344,0.00536824,1
77,0.215138,0.137,0.127,-0.000317074,-0.00153336,-0.00120994,0,0.215138,0.00536835,1
78,0.217932,0.137,0.127,-0.000399363,-0.00181787,-0.00141121,0,0.217932,0.00536853,1
79,0.220726,0.137,0.127,-0.000498906,-0.00211717,-0.00163904,0,0.220726,0.00536877,1
80,0.22352,0.137,0.127,-0.000616683,-0.00243479,-0.00189869,0,0.22352,0.00536908,1
81,0.226314,0.137,0.127,-0.000755478,-0.00277805,-0.00220123,0,0.226314,0.00536947,1
82,0.229108,0.137,0.127,-0.000912343,-0.00314849,-0.00254773,0,0.229108,0.00536995,1
83,0.231902,0.137,0.127,-0.00108583,-0.00355017,-0.00294367,0,0.231902,0.00537053,1
84,0.234696,0.137,0.127,-0.00127186,-0.00398628,-0.00339351,0,0.234696,0.00537121,1
85,0.23749,0.137,0.127,-0.00146167,-0.00444998,-0.00388749,0,0.23749,0.00537202,1
86,0.240284,0.137,0.127,-0.00164454,-0.00493286,-0.00441592,0,0.240284,0.00537294,1
87,0.243078,0.137,0.127,-0.00180407,-0.00541368,-0.00495377,0,0.243078,0.005374,1
88,0.245872,0.137,0.127,-0.00192579,-0.00586415,-0.00546756,0,0.245872,0.00537515,1
89,0.248666,0.137,0.127,-0.00198835,-0.00624068,-0.00590888,0,0.248666,0.00537637,1
90,0.25146,0.137,0.127,-0.00197783,-0.00649576,-0.00622473,0,0.25146,0.0053776,1
91,0.254254,0.137,0.127,-0.00189046,-0.00659382,-0.006376,0,0.254254,0.00537877,1
92,0.257048,0.137,0.127,-0.00171874,-0.0064768,-0.00630092,0,0.257048,0.00537979,1
93,0.259842,0.137,0.127,-0.00148216,-0.00614267,-0.0059978,0,0.259842,0.00538059,1
94,0.262636,0.137,0.127,-0.00120114,-0.00560006,-0.0054768,0,0.262636,0.00538114,1
95,0.26543,0.137,0.127,-0.000901133,-0.00485234,-0.00474344,0,0.26543,0.00538139,1
96,0.268224,0.137,0.127,-0.000613165,-0.00396972,-0.00387284,0,0.268224,0.00538141,1
97,0.271018,0.137,0.127,-0.000360636,-0.00299667,-0.00291322,0,0.271018,0.00538123,1
98,0.273812,0.137,0.127,-0.000168807,-0.00198431,-0.00192005,0,0.273812,0.00538091,1
99,0.276606,0.137,0.127,-4.57236e-05,-0.000980134,-0.000942978,0,0.276606,0.0053805,1
100,0.2794,0.137,0.127,-6.88352e-19,-2.6831e-17,-2.57275e-17,0,0.2794,0.00538017,1
